"USER","site","sensor","id","user_id","site_id","sensor_id","last_hit_received_ts","num_hits_last_hour","last_s3_file_written_ts","last_s3_file_name","last_s3_file_status","created_at","updated_at","ts"
"bluth_co","bluth_co","store",21629,608405643,608405643,666565225,1306126870,35085,1306058493,"euclid-hit-collector-archives-hits/bluth_co/0012cfa4e2aa/2011/05/22/store_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"amertek","amertek","store2_store",21620,282818199,282818199,307489707,1306114321,0,1306058493,"euclid-hit-collector-archives-hits/amertek/0012cfa4e03a/2011/05/22/store2_store_20110522_0230_0300_hit_archive_1306058489.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"seburo","seburo","store",21640,233007276,233007276,963219281,1306126875,67056,1306058496,"euclid-hit-collector-archives-hits/seburo/0012cfa46fc3/2011/05/22/store_20110522_0000_0030_hit_archive_1306058496.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"scott","scott","home",21637,242462757,242462757,864475662,1306126875,63607,1306058495,"euclid-hit-collector-archives-hits/scott/0012cfa4e41c/2011/05/22/home_20110522_0000_0030_hit_archive_1306058494.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"dunder_mifflin","dunder_mifflin","kiosk",21633,483634850,483634850,747636774,1306095374,0,0,"na",0,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"telstar","telstar","office",21614,273013281,273013281,77003772,1306126875,66231,1306058487,"euclid-hit-collector-archives-hits/telstar/0012cfa4a308/2011/05/22/office_20110522_0000_0030_hit_archive_1306058487.json.gz",1,"2011-05-23 05:01:15","2011-05-23 05:01:15",1306126875
"stark","stark_industries","stark-palo_alto_core",21624,750070513,584828890,562584705,1306126875,20995,1306058490,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47f65/2011/05/22/stark-palo_alto_core_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"tyrell_corp","tyrell_corp","store",21642,287389215,287389215,1026883774,0,0,0,"na",0,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"stark","stark_industries","stark-sf_second_floor",21631,750070513,584828890,709127051,1306126875,14434,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca4820c/2011/05/22/stark-sf_second_floor_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"east_india_co","east_india_co","lab",21621,871229211,871229211,361722257,0,0,0,"na",0,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"euclid_dev","harrison_metal","proto_1",21617,35068142,509866921,213796371,0,0,0,"na",0,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"kwik_e_mart","kwik_e_mart","point_of_sale",21616,634519361,634519361,113389711,1306126875,141398,1306058490,"euclid-hit-collector-archives-hits/kwik_e_mart/940c6dc0ad44/2011/05/22/point_of_sale_20110522_0000_0030_hit_archive_1306058489.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"acme","acme","acme-yoyodyne",21619,540414742,540414742,289836770,1306126875,60955,1306058491,"euclid-hit-collector-archives-hits/acme/0012cfa469b6/2011/05/22/acme-yoyodyne_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"stark","stark_industries","stark-yoyodyne_gourmet",21628,750070513,584828890,627202110,1306126875,20536,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47a17/2011/05/22/stark-yoyodyne_gourmet_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"yoyodyne","yoyodyne","pinkberry_kiosk",21639,497772730,497772730,936350484,1306126875,207058,1306058496,"euclid-hit-collector-archives-hits/yoyodyne/d85d4ca47c6d/2011/05/22/pinkberry_kiosk_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"amertek","amertek","store1_store",21626,282818199,282818199,599519544,1306126517,567,0,"na",0,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"acme","acme","acme-palo_alto",21636,540414742,540414742,854262013,1306126870,19595,1306058495,"euclid-hit-collector-archives-hits/acme/0012cfa4694c/2011/05/22/acme-palo_alto_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"tyrell_corp","tyrell_corp","store",21611,287389215,287389215,1026883774,0,0,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"stark","stark_industries","stark-sf_second_floor",21600,750070513,584828890,709127051,1306123267,15009,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca4820c/2011/05/22/stark-sf_second_floor_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"east_india_co","east_india_co","lab",21590,871229211,871229211,361722257,0,0,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"euclid_dev","harrison_metal","proto_1",21586,35068142,509866921,213796371,0,0,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"kwik_e_mart","kwik_e_mart","point_of_sale",21585,634519361,634519361,113389711,1306123273,151784,1306058490,"euclid-hit-collector-archives-hits/kwik_e_mart/940c6dc0ad44/2011/05/22/point_of_sale_20110522_0000_0030_hit_archive_1306058489.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"acme","acme","acme-yoyodyne",21588,540414742,540414742,289836770,1306123273,60575,1306058491,"euclid-hit-collector-archives-hits/acme/0012cfa469b6/2011/05/22/acme-yoyodyne_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"stark","stark_industries","stark-yoyodyne_gourmet",21597,750070513,584828890,627202110,1306123272,20304,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47a17/2011/05/22/stark-yoyodyne_gourmet_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"yoyodyne","yoyodyne","pinkberry_kiosk",21608,497772730,497772730,936350484,1306123278,240233,1306058496,"euclid-hit-collector-archives-hits/yoyodyne/d85d4ca47c6d/2011/05/22/pinkberry_kiosk_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"amertek","amertek","store1_store",21595,282818199,282818199,599519544,1306123045,561,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"acme","acme","acme-palo_alto",21605,540414742,540414742,854262013,1306123272,19022,1306058495,"euclid-hit-collector-archives-hits/acme/0012cfa4694c/2011/05/22/acme-palo_alto_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"stark","stark_industries","stark-yoyodyne_tabletop",21592,750070513,584828890,562522538,1306123278,18765,1306058490,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47884/2011/05/22/stark-yoyodyne_tabletop_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"stark","stark_industries","stark-sf_stark2_first_floor",21613,750070513,584828890,1063375177,1306123267,7834,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"stark","stark_industries","stark-diablo_patio",21599,750070513,584828890,707696713,1306123278,23297,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47cac/2011/05/22/stark-diablo_patio_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"yoyodyne","yoyodyne","main_st_lightpost_1_west",21610,497772730,497772730,997624916,0,0,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"halo_corp","halo_corp","lab",21587,570488950,570488950,224943336,0,0,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"amertek","amertek","store3_store",21607,282818199,282818199,874831901,1306123267,6690,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"neiman_marcus","neiman_marcus","accton",21596,523231259,523231259,609147324,0,0,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"yoyodyne","yoyodyne","lab_kiosk",21603,497772730,497772730,766354529,1306123278,264938,1306058493,"euclid-hit-collector-archives-hits/yoyodyne/d85d4ca476af/2011/05/22/lab_kiosk_20110522_0000_0030_hit_archive_1306058493.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"stark","stark_industries","stark-sf_first_floor",21594,750070513,584828890,567029483,1306123272,38631,1306058491,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47e19/2011/05/22/stark-sf_first_floor_20110522_0000_0030_hit_archive_1306058491.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"yoyodyne","yoyodyne","main_st_lightpost_1_east",21584,497772730,497772730,107985819,0,0,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"euclid_dev","harrison_metal","conference_room",21604,35068142,509866921,849978914,1306123278,184406,1306058494,"euclid-hit-collector-archives-hits/harrison_metal/940c6dbc018a/2011/05/22/conference_room_20110522_0000_0030_hit_archive_1306058494.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"ryan","ryan","home",21612,767488622,767488622,1035953223,1306123278,72527,1306058496,"euclid-hit-collector-archives-hits/ryan/0012cfa45209/2011/05/22/home_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"stark","stark_industries","stark-sf_stark2_second_floor",21601,750070513,584828890,745764876,1306123278,25111,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca48200/2011/05/22/stark-sf_stark2_second_floor_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"acme","acme","acme-sf",21591,540414742,540414742,464475916,1306123278,72885,1306058494,"euclid-hit-collector-archives-hits/acme/0012cfa46906/2011/05/22/acme-sf_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"bluth_co","bluth_co","store",21598,608405643,608405643,666565225,1306123278,29172,1306058493,"euclid-hit-collector-archives-hits/bluth_co/0012cfa4e2aa/2011/05/22/store_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"seburo","seburo","store",21609,233007276,233007276,963219281,1306123278,56563,1306058496,"euclid-hit-collector-archives-hits/seburo/0012cfa46fc3/2011/05/22/store_20110522_0000_0030_hit_archive_1306058496.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"amertek","amertek","store2_store",21589,282818199,282818199,307489707,1306114321,0,1306058493,"euclid-hit-collector-archives-hits/amertek/0012cfa4e03a/2011/05/22/store2_store_20110522_0230_0300_hit_archive_1306058489.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"scott","scott","home",21606,242462757,242462757,864475662,1306123278,79819,1306058495,"euclid-hit-collector-archives-hits/scott/0012cfa4e41c/2011/05/22/home_20110522_0000_0030_hit_archive_1306058494.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"dunder_mifflin","dunder_mifflin","kiosk",21602,483634850,483634850,747636774,1306095374,0,0,"na",0,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"telstar","telstar","office",21583,273013281,273013281,77003772,1306123272,64908,1306058487,"euclid-hit-collector-archives-hits/telstar/0012cfa4a308/2011/05/22/office_20110522_0000_0030_hit_archive_1306058487.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"stark","stark_industries","stark-palo_alto_core",21593,750070513,584828890,562584705,1306123272,23176,1306058490,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47f65/2011/05/22/stark-palo_alto_core_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 04:01:18","2011-05-23 04:01:18",1306123277
"seburo","seburo","store",21578,233007276,233007276,963219281,1306119671,70237,1306058496,"euclid-hit-collector-archives-hits/seburo/0012cfa46fc3/2011/05/22/store_20110522_0000_0030_hit_archive_1306058496.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"amertek","amertek","store2_store",21558,282818199,282818199,307489707,1306114321,0,1306058493,"euclid-hit-collector-archives-hits/amertek/0012cfa4e03a/2011/05/22/store2_store_20110522_0230_0300_hit_archive_1306058489.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"scott","scott","home",21575,242462757,242462757,864475662,1306119671,83057,1306058495,"euclid-hit-collector-archives-hits/scott/0012cfa4e41c/2011/05/22/home_20110522_0000_0030_hit_archive_1306058494.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"dunder_mifflin","dunder_mifflin","kiosk",21571,483634850,483634850,747636774,1306095374,0,0,"na",0,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"telstar","telstar","office",21552,273013281,273013281,77003772,1306119671,85964,1306058487,"euclid-hit-collector-archives-hits/telstar/0012cfa4a308/2011/05/22/office_20110522_0000_0030_hit_archive_1306058487.json.gz",1,"2011-05-23 03:01:15","2011-05-23 03:01:15",1306119675
"stark","stark_industries","stark-palo_alto_core",21562,750070513,584828890,562584705,1306119671,26335,1306058490,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47f65/2011/05/22/stark-palo_alto_core_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"tyrell_corp","tyrell_corp","store",21580,287389215,287389215,1026883774,0,0,0,"na",0,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"stark","stark_industries","stark-sf_second_floor",21569,750070513,584828890,709127051,1306119666,15798,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca4820c/2011/05/22/stark-sf_second_floor_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"east_india_co","east_india_co","lab",21559,871229211,871229211,361722257,0,0,0,"na",0,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"euclid_dev","harrison_metal","proto_1",21555,35068142,509866921,213796371,0,0,0,"na",0,"2011-05-23 03:01:15","2011-05-23 03:01:15",1306119675
"kwik_e_mart","kwik_e_mart","point_of_sale",21554,634519361,634519361,113389711,1306119671,161552,1306058490,"euclid-hit-collector-archives-hits/kwik_e_mart/940c6dc0ad44/2011/05/22/point_of_sale_20110522_0000_0030_hit_archive_1306058489.json.gz",1,"2011-05-23 03:01:15","2011-05-23 03:01:15",1306119675
"acme","acme","acme-yoyodyne",21557,540414742,540414742,289836770,1306119671,57554,1306058491,"euclid-hit-collector-archives-hits/acme/0012cfa469b6/2011/05/22/acme-yoyodyne_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"stark","stark_industries","stark-yoyodyne_gourmet",21566,750070513,584828890,627202110,1306119666,20424,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47a17/2011/05/22/stark-yoyodyne_gourmet_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"yoyodyne","yoyodyne","pinkberry_kiosk",21577,497772730,497772730,936350484,1306119676,232731,1306058496,"euclid-hit-collector-archives-hits/yoyodyne/d85d4ca47c6d/2011/05/22/pinkberry_kiosk_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"amertek","amertek","store1_store",21564,282818199,282818199,599519544,1306119639,661,0,"na",0,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"acme","acme","acme-palo_alto",21574,540414742,540414742,854262013,1306119671,19959,1306058495,"euclid-hit-collector-archives-hits/acme/0012cfa4694c/2011/05/22/acme-palo_alto_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"stark","stark_industries","stark-yoyodyne_tabletop",21561,750070513,584828890,562522538,1306119666,18593,1306058490,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47884/2011/05/22/stark-yoyodyne_tabletop_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"stark","stark_industries","stark-sf_stark2_first_floor",21582,750070513,584828890,1063375177,1306119660,7881,0,"na",0,"2011-05-23 03:01:17","2011-05-23 03:01:17",1306119675
"stark","stark_industries","stark-diablo_patio",21568,750070513,584828890,707696713,1306119670,21103,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47cac/2011/05/22/stark-diablo_patio_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"yoyodyne","yoyodyne","main_st_lightpost_1_west",21579,497772730,497772730,997624916,0,0,0,"na",0,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"halo_corp","halo_corp","lab",21556,570488950,570488950,224943336,0,0,0,"na",0,"2011-05-23 03:01:15","2011-05-23 03:01:15",1306119675
"amertek","amertek","store3_store",21576,282818199,282818199,874831901,1306119666,5030,0,"na",0,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"neiman_marcus","neiman_marcus","accton",21565,523231259,523231259,609147324,0,0,0,"na",0,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"yoyodyne","yoyodyne","lab_kiosk",21572,497772730,497772730,766354529,1306119671,279879,1306058493,"euclid-hit-collector-archives-hits/yoyodyne/d85d4ca476af/2011/05/22/lab_kiosk_20110522_0000_0030_hit_archive_1306058493.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"stark","stark_industries","stark-sf_first_floor",21563,750070513,584828890,567029483,1306119668,48336,1306058491,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47e19/2011/05/22/stark-sf_first_floor_20110522_0000_0030_hit_archive_1306058491.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"yoyodyne","yoyodyne","main_st_lightpost_1_east",21553,497772730,497772730,107985819,0,0,0,"na",0,"2011-05-23 03:01:15","2011-05-23 03:01:15",1306119675
"euclid_dev","harrison_metal","conference_room",21573,35068142,509866921,849978914,1306119671,177246,1306058494,"euclid-hit-collector-archives-hits/harrison_metal/940c6dbc018a/2011/05/22/conference_room_20110522_0000_0030_hit_archive_1306058494.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"ryan","ryan","home",21581,767488622,767488622,1035953223,1306119676,76059,1306058496,"euclid-hit-collector-archives-hits/ryan/0012cfa45209/2011/05/22/home_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"stark","stark_industries","stark-sf_stark2_second_floor",21570,750070513,584828890,745764876,1306119667,25490,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca48200/2011/05/22/stark-sf_stark2_second_floor_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"acme","acme","acme-sf",21560,540414742,540414742,464475916,1306119671,94424,1306058494,"euclid-hit-collector-archives-hits/acme/0012cfa46906/2011/05/22/acme-sf_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"bluth_co","bluth_co","store",21567,608405643,608405643,666565225,1306119671,27793,1306058493,"euclid-hit-collector-archives-hits/bluth_co/0012cfa4e2aa/2011/05/22/store_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 03:01:16","2011-05-23 03:01:16",1306119675
"yoyodyne","yoyodyne","lab_kiosk",21541,497772730,497772730,766354529,1306116072,286240,1306058493,"euclid-hit-collector-archives-hits/yoyodyne/d85d4ca476af/2011/05/22/lab_kiosk_20110522_0000_0030_hit_archive_1306058493.json.gz",1,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"stark","stark_industries","stark-sf_first_floor",21532,750070513,584828890,567029483,1306116072,54869,1306058491,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47e19/2011/05/22/stark-sf_first_floor_20110522_0000_0030_hit_archive_1306058491.json.gz",1,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"yoyodyne","yoyodyne","main_st_lightpost_1_east",21522,497772730,497772730,107985819,0,0,0,"na",0,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"euclid_dev","harrison_metal","conference_room",21542,35068142,509866921,849978914,1306116072,174842,1306058494,"euclid-hit-collector-archives-hits/harrison_metal/940c6dbc018a/2011/05/22/conference_room_20110522_0000_0030_hit_archive_1306058494.json.gz",1,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"ryan","ryan","home",21550,767488622,767488622,1035953223,1306116072,69559,1306058496,"euclid-hit-collector-archives-hits/ryan/0012cfa45209/2011/05/22/home_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 02:01:17","2011-05-23 02:01:17",1306116076
"stark","stark_industries","stark-sf_stark2_second_floor",21539,750070513,584828890,745764876,1306116072,25060,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca48200/2011/05/22/stark-sf_stark2_second_floor_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"acme","acme","acme-sf",21529,540414742,540414742,464475916,1306116072,99203,1306058494,"euclid-hit-collector-archives-hits/acme/0012cfa46906/2011/05/22/acme-sf_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"bluth_co","bluth_co","store",21536,608405643,608405643,666565225,1306116067,25314,1306058493,"euclid-hit-collector-archives-hits/bluth_co/0012cfa4e2aa/2011/05/22/store_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"seburo","seburo","store",21547,233007276,233007276,963219281,1306116072,68003,1306058496,"euclid-hit-collector-archives-hits/seburo/0012cfa46fc3/2011/05/22/store_20110522_0000_0030_hit_archive_1306058496.json.gz",1,"2011-05-23 02:01:17","2011-05-23 02:01:17",1306116076
"amertek","amertek","store2_store",21527,282818199,282818199,307489707,1306114321,4803,1306058493,"euclid-hit-collector-archives-hits/amertek/0012cfa4e03a/2011/05/22/store2_store_20110522_0230_0300_hit_archive_1306058489.json.gz",1,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"scott","scott","home",21544,242462757,242462757,864475662,1306116072,77082,1306058495,"euclid-hit-collector-archives-hits/scott/0012cfa4e41c/2011/05/22/home_20110522_0000_0030_hit_archive_1306058494.json.gz",1,"2011-05-23 02:01:17","2011-05-23 02:01:17",1306116076
"dunder_mifflin","dunder_mifflin","kiosk",21540,483634850,483634850,747636774,1306095374,0,0,"na",0,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"telstar","telstar","office",21521,273013281,273013281,77003772,1306116072,86426,1306058487,"euclid-hit-collector-archives-hits/telstar/0012cfa4a308/2011/05/22/office_20110522_0000_0030_hit_archive_1306058487.json.gz",1,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
"stark","stark_industries","stark-palo_alto_core",21531,750070513,584828890,562584705,1306116072,21447,1306058490,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47f65/2011/05/22/stark-palo_alto_core_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 02:01:16","2011-05-23 02:01:16",1306116076
